topic_id,topic_name,metadata,property_id,equipment_id,unit,kind,dis
109612,Floor_01/DEV36228_VAVRH_1_01/DischargeTemp,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36228_VAVRH_1_01/DischargeTemp
109618,Floor_01/DEV36228_VAVRH_1_01/DuctInTemp,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36228_VAVRH_1_01/DuctInTemp
109607,Floor_01/DEV36228_VAVRH_1_01/EffectSP,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36228_VAVRH_1_01/EffectSP
109594,Floor_01/DEV36228_VAVRH_1_01/FanSpeed,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36228_VAVRH_1_01/FanSpeed
109615,Floor_01/DEV36228_VAVRH_1_01/Heat1,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36228_VAVRH_1_01/Heat1
109614,Floor_01/DEV36228_VAVRH_1_01/Heat2,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36228_VAVRH_1_01/Heat2
109613,Floor_01/DEV36228_VAVRH_1_01/Heat3,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36228_VAVRH_1_01/Heat3
109621,Floor_01/DEV36228_VAVRH_1_01/PFanStartFlowSP,"{""units"": ""cubicFeetPerMinute"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,cubicFeetPerMinute,float,DEV36228_VAVRH_1_01/PFanStartFlowSP
109610,Floor_01/DEV36228_VAVRH_1_01/REHEAT_VALVE_POSITION,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36228_VAVRH_1_01/REHEAT_VALVE_POSITION
109611,Floor_01/DEV36228_VAVRH_1_01/SpaceHumidity,"{""units"": ""percentRelativeHumidity"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percentRelativeHumidity,float,DEV36228_VAVRH_1_01/SpaceHumidity
